実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第30回：平成29年度（2018年）,問題57 生活支援技術,パーキンソン病（Parkinsondisease）（ホーエン・ヤール重症度分類ステージ３）の高齢者の寝室環境に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 正解,ベッドに手すりをつける。,ホーエン・ヤール重症度分類ステージ３になると、身体のバランスの障害がみられるようになるので、ベッドに手すりをつけることは、安全への配慮として適切である。,
第30回：平成29年度（2018年）,問題57 生活支援技術,パーキンソン病（Parkinsondisease）（ホーエン・ヤール重症度分類ステージ３）の高齢者の寝室環境に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,マットレスは体が沈みこむものを選ぶ。,マットレスは、適度な硬さのあるほうが、寝返りやベッドからの立ち上がりがしやすい。体が沈みこむマットレスを選ぶというのは、不適切である。,
第30回：平成29年度（2018年）,問題57 生活支援技術,パーキンソン病（Parkinsondisease）（ホーエン・ヤール重症度分類ステージ３）の高齢者の寝室環境に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,ベッドサイドの床にクッション性のあるマットを敷く。,ホーエン・ヤール重症度分類ステージ３になると、突進現象がはっきりとみられるようになる。ベッドサイドの床にクッション性のあるマットを敷くと、転倒したときに安全性が増すようにも思えるが、それ以前に、つまずいて転倒すること自体を避ける必要がある。ベッドサイドの床にマットを敷くのは、不適切である。,
第30回：平成29年度（2018年）,問題57 生活支援技術,パーキンソン病（Parkinsondisease）（ホーエン・ヤール重症度分類ステージ３）の高齢者の寝室環境に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,枕は頸部前屈（けいぶぜんくつ）になるような高さにする。,ホーエン・ヤール重症度分類ステージ３になると、筋固縮に伴い、頸部の屈曲や前屈姿勢が増強されて、突進現象がはっきりみられるようになる。頸部が前屈するような高さの枕を使用することは、こうした状態を助長することになるため、不適切である。,
第30回：平成29年度（2018年）,問題58 生活支援技術,Ｄさん（75歳、女性）は、以前は散歩が好きで、毎日、１時間ぐらい近所を歩いていた。最近、心不全（heartfailure）が進行して歩行がゆっくりとなり、散歩も出かけず、窓のそばに座って過ごすことが多くなった。食事は、すぐおなかがいっぱになるからと、６回に分けて食べている。夜、「横になると呼吸が苦しい時があり、眠れていない」という言葉が聞かれるようになった。Ｄさんへの安眠の支援に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,寝る前に、肩までつかって入浴する。,肩までつかって入浴すると、水圧（静水圧）によって全身の血管が圧迫され、血液が一気に心臓へと戻ってくるので、心不全が進行しているＤさんにとっては心臓に負担がかかり過ぎることになる。寝る前に肩までつかって入浴するのは、不適切である。,
第30回：平成29年度（2018年）,問題58 生活支援技術,Ｄさん（75歳、女性）は、以前は散歩が好きで、毎日、１時間ぐらい近所を歩いていた。最近、心不全（heartfailure）が進行して歩行がゆっくりとなり、散歩も出かけず、窓のそばに座って過ごすことが多くなった。食事は、すぐおなかがいっぱになるからと、６回に分けて食べている。夜、「横になると呼吸が苦しい時があり、眠れていない」という言葉が聞かれるようになった。Ｄさんへの安眠の支援に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,寝る30分前に、少量の食事を摂取する。,食事は、就寝の２?３時間前までに済ませることが望ましい。寝る30分前に少量の食事を摂取するというのは、不適切である。,
第30回：平成29年度（2018年）,問題58 生活支援技術,Ｄさん（75歳、女性）は、以前は散歩が好きで、毎日、１時間ぐらい近所を歩いていた。最近、心不全（heartfailure）が進行して歩行がゆっくりとなり、散歩も出かけず、窓のそばに座って過ごすことが多くなった。食事は、すぐおなかがいっぱになるからと、６回に分けて食べている。夜、「横になると呼吸が苦しい時があり、眠れていない」という言葉が聞かれるようになった。Ｄさんへの安眠の支援に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,以前のように、毎日１時間の散歩を再開する。,Ｄさんは、心不全が進行して歩行がゆっくりとなり、散歩には出かけず、窓のそばに座って過ごすことが多くなっているので、毎日１時間の散歩をすることは、負担が大きすぎて、症状を悪化させることになりかねない。以前のような毎日１時間の散歩を再開するというのは、不適切である。,
第30回：平成29年度（2018年）,問題58 生活支援技術,Ｄさん（75歳、女性）は、以前は散歩が好きで、毎日、１時間ぐらい近所を歩いていた。最近、心不全（heartfailure）が進行して歩行がゆっくりとなり、散歩も出かけず、窓のそばに座って過ごすことが多くなった。食事は、すぐおなかがいっぱになるからと、６回に分けて食べている。夜、「横になると呼吸が苦しい時があり、眠れていない」という言葉が聞かれるようになった。Ｄさんへの安眠の支援に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 正解,就寝時は、セミファーラー位にする。,セミファーラー位とは、上半身を15?30度ほど起こした半座位の姿勢をいう。この体位をとると、腹部の内臓により肺が圧迫されることを軽減できるため、呼吸がしやすくなる。Ｄさんは、「横になると呼吸が苦しい時があり、眠れていない」と訴えているので、就寝時にセミファーラー位にすることは、Ｄさんへの安眠の支援として適切である。,
第30回：平成29年度（2018年）,問題58 生活支援技術,Ｄさん（75歳、女性）は、以前は散歩が好きで、毎日、１時間ぐらい近所を歩いていた。最近、心不全（heartfailure）が進行して歩行がゆっくりとなり、散歩も出かけず、窓のそばに座って過ごすことが多くなった。食事は、すぐおなかがいっぱになるからと、６回に分けて食べている。夜、「横になると呼吸が苦しい時があり、眠れていない」という言葉が聞かれるようになった。Ｄさんへの安眠の支援に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,朝、目覚めた時にカーテンを開ける。,朝の目覚めた時にカーテンを開けることは、昼夜逆転などの睡眠障害を改善するためには効果があるが、Ｄさんは、心不全を原因とする呼吸困難のために不眠になっているのだから、この方法は、Ｄさんへの安眠の支援としては適切といえない。,
第30回：平成29年度（2018年）,問題59 生活支援技術,終末期にある利用者を施設で看取（みと）る家族への支援として、最も適切なものを１つ選びなさい。,1 不正解,毎日面会に来るように促す。,終末期にあるからといって、毎日の面会を利用者や家族が望んでいるとは限らない。また毎日面会に来ることは、家族にとって負担が少なくないことも事実である。毎日面会に来るように促すのは、適切ではない。,
第30回：平成29年度（2018年）,問題59 生活支援技術,終末期にある利用者を施設で看取（みと）る家族への支援として、最も適切なものを１つ選びなさい。,2 正解,家族が利用者のためにできることを提案する。,終末期には、利用者と家族が悔いを残すことなく最期のときを迎えられるように、家族が心おきなく最期のかかわりができるように支援することが求められる。利用者を施設で看取る家族への支援として、家族が利用者のためにできることを提案することは、最も適切である。,
第30回：平成29年度（2018年）,問題59 生活支援技術,終末期にある利用者を施設で看取（みと）る家族への支援として、最も適切なものを１つ選びなさい。,3 不正解,積極的な情報提供は控える。,利用者の家族が悔いを残すことなく最期のときを迎えられるように、利用者本人の状態や終末期における医療方針、施設側のケアなどについて、情報を提供していくことが求められる。積極的な情報提供を控えるというのは、不適切である。,
第30回：平成29年度（2018年）,問題59 生活支援技術,終末期にある利用者を施設で看取（みと）る家族への支援として、最も適切なものを１つ選びなさい。,4 不正解,感情を表出しないように助言する。,終末期において、利用者の家族は、身近な人を失うことへの不安、悲しみなど、さまざまな感情を抱いており、介護福祉職としては、こうした家族の心情を受け止めながら支援していくことが求められる。家族に対して感情を表出しないように助言するというのは、不適切である。,
第30回：平成29年度（2018年）,問題59 生活支援技術,終末期にある利用者を施設で看取（みと）る家族への支援として、最も適切なものを１つ選びなさい。,5 不正解,パブリックスペースを用意する。,パブリックスペースとは、一般の人に開放された比較的広い場所をいう。家族にとって、心おきなく利用者との最期のかかわりができるようにするためには、プライベートな空間が必要であり、パブリックスペースを用意するのは、不適切である。,
第30回：平成29年度（2018年）,問題60 生活支援技術,施設において、介護福祉職の行う死後の処置として、適切なものを１つ選びなさい。,1 不正解,義歯ははずす。,義歯は、口腔内をケアした後、利用者の生前の容姿・顔貌を保つために、装着しておく。,
第30回：平成29年度（2018年）,問題60 生活支援技術,施設において、介護福祉職の行う死後の処置として、適切なものを１つ選びなさい。,2 不正解,衣服は施設が指定したものを用いる。,衣服は、故人の意思を尊重したものや家族が準備したものを着せる。施設が指定したものを用いるというのは、適切ではない。,
第30回：平成29年度（2018年）,問題60 生活支援技術,施設において、介護福祉職の行う死後の処置として、適切なものを１つ選びなさい。,3 不正解,着物の場合は右前に合わせる。,着物の場合は、左前（左前身頃の上に右前身頃を重ねること）にすることで「死に装束」となる。右前に合わせるのは、普段の着方であり、不適切である。,
第30回：平成29年度（2018年）,問題60 生活支援技術,施設において、介護福祉職の行う死後の処置として、適切なものを１つ選びなさい。,4 正解,着物の場合は帯紐（おびひも）を縦結びにする。,「死に装束」の場合、帯紐は縦結びにする。これは普段はしない解けにくい結び方であり、死に別れることを繰り返したくないという思いを表したものともいわれている。,
第30回：平成29年度（2018年）,問題60 生活支援技術,施設において、介護福祉職の行う死後の処置として、適切なものを１つ選びなさい。,5 不正解,死後の処置は、死後３時間経過してから行う。,死後の処置は、家族や親しい人との別れの時間の後、死後硬直が始まる前に行わなければならない。死後硬直は、死後２時間ほど経過すると始まるので、死後３時間経過してから死後の処置を行うというのは、不適切である。,
第30回：平成29年度（2018年）,問題61 介護過程,介護過程の目的に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,疾病の診断資料として活用する。,介護過程とは、利用者が生活する上で直面している問題の解決に向けて検討し、計画を立て、実施し、評価するという一連のプロセスをいう。その最終的な目的は、利用者とその家族の尊厳を守りつつ、利用者の自己実現を図るために、適切な介護サービスを提供することにある。そして、利用者自身の心身の状況、ものの考え方、生活様式、家族状況などを十分に把握し、その人らしい日常生活を理解することが、上記の目的を達成するための根拠ある介護実践と利用者の自立支援につながる。従って、介護過程の目的に関する記述として最も適切なものは、選択肢４の「利用者の自己実現を支援する」である。,
第30回：平成29年度（2018年）,問題61 介護過程,介護過程の目的に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,職種間の専門性の違いを明確にする。,介護過程とは、利用者が生活する上で直面している問題の解決に向けて検討し、計画を立て、実施し、評価するという一連のプロセスをいう。その最終的な目的は、利用者とその家族の尊厳を守りつつ、利用者の自己実現を図るために、適切な介護サービスを提供することにある。そして、利用者自身の心身の状況、ものの考え方、生活様式、家族状況などを十分に把握し、その人らしい日常生活を理解することが、上記の目的を達成するための根拠ある介護実践と利用者の自立支援につながる。従って、介護過程の目的に関する記述として最も適切なものは、選択肢４の「利用者の自己実現を支援する」である。,
第30回：平成29年度（2018年）,問題61 介護過程,介護過程の目的に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,介護福祉職の業務負担を軽減する。,介護過程とは、利用者が生活する上で直面している問題の解決に向けて検討し、計画を立て、実施し、評価するという一連のプロセスをいう。その最終的な目的は、利用者とその家族の尊厳を守りつつ、利用者の自己実現を図るために、適切な介護サービスを提供することにある。そして、利用者自身の心身の状況、ものの考え方、生活様式、家族状況などを十分に把握し、その人らしい日常生活を理解することが、上記の目的を達成するための根拠ある介護実践と利用者の自立支援につながる。従って、介護過程の目的に関する記述として最も適切なものは、選択肢４の「利用者の自己実現を支援する」である。,
第30回：平成29年度（2018年）,問題61 介護過程,介護過程の目的に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 正解,利用者の自己実現を支援する。,介護過程とは、利用者が生活する上で直面している問題の解決に向けて検討し、計画を立て、実施し、評価するという一連のプロセスをいう。その最終的な目的は、利用者とその家族の尊厳を守りつつ、利用者の自己実現を図るために、適切な介護サービスを提供することにある。そして、利用者自身の心身の状況、ものの考え方、生活様式、家族状況などを十分に把握し、その人らしい日常生活を理解することが、上記の目的を達成するための根拠ある介護実践と利用者の自立支援につながる。従って、介護過程の目的に関する記述として最も適切なものは、選択肢４の「利用者の自己実現を支援する」である。,
第30回：平成29年度（2018年）,問題61 介護過程,介護過程の目的に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,家族の希望や思いを代弁する。,介護過程とは、利用者が生活する上で直面している問題の解決に向けて検討し、計画を立て、実施し、評価するという一連のプロセスをいう。その最終的な目的は、利用者とその家族の尊厳を守りつつ、利用者の自己実現を図るために、適切な介護サービスを提供することにある。そして、利用者自身の心身の状況、ものの考え方、生活様式、家族状況などを十分に把握し、その人らしい日常生活を理解することが、上記の目的を達成するための根拠ある介護実践と利用者の自立支援につながる。従って、介護過程の目的に関する記述として最も適切なものは、選択肢４の「利用者の自己実現を支援する」である。,
第30回：平成29年度（2018年）,問題62 介護過程,利用者のアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,利用者本人の希望に沿った情報を収集する。,情報収集においては、利用者の主観的視点だけでなく、問題の背後にある潜在的な要因を追究する客観的視点が必要である。このため、利用者が提供する情報とともに、利用者の家族、関係者（友人、隣人、職場の同僚など）のほか、利用者を専門的に見ることのできる関連機関の職員などからの情報も重要である。アセスメントとして利用者本人の希望に沿った情報を収集するというのは、適切ではない。,
第30回：平成29年度（2018年）,問題62 介護過程,利用者のアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,家族のニーズを優先させながら情報を収集する。,アセスメントにおいては、利用者本人のニーズを念頭に置きながら情報を収集することが大切である。家族のニーズを優先させながら情報を収集するというのは、適切ではない。,
第30回：平成29年度（2018年）,問題62 介護過程,利用者のアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 正解,介護福祉の知識を活用して情報を解釈する。,アセスメントの過程では、収集した情報について、介護福祉に関する知識を総合的に活用しながら、利用者の課題を分析していく。これには、介護のみならず、医学や家政学などの幅広い知識が含まれる。,
第30回：平成29年度（2018年）,問題62 介護過程,利用者のアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,生活課題を明確にした後で情報を関連づける。,アセスメントの過程では、収集した情報に基づいて、これを分析し、解釈することを通して、利用者の生活課題を明確化していく作業を行う。生活課題を明確にした後で情報を関連づけるというのは、不適切である。,
第30回：平成29年度（2018年）,問題62 介護過程,利用者のアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,利用者の情報を整理した後で要望を聞く。,アセスメントの過程では、情報を収集する段階で、利用者の要望を的確にとらえ、これを分析・整理していくことになる。利用者の情報を整理した後で要望を聞くというのは、順序が逆であり、不適切である。,
第30回：平成29年度（2018年）,問題63 介護過程,介護計画の立案に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,以前の介護計画は考慮せずに立案する。,以前の介護計画がある場合は、その実施に対して評価を行い、新たな生活課題が発見されたときは、再アセスメントを行って、その介護計画の見直しをすることになる。以前の介護計画を考慮せずに（新たな介護計画を）立案するというのは、不適切である。,
第30回：平成29年度（2018年）,問題63 介護過程,介護計画の立案に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 正解,現実的で実践可能な内容にする。,介護計画の立案においては、利用者のために設定する達成目標を、単なる努力目標で終わらせないように、現実的で実践可能な内容にすることが重要である。,
第30回：平成29年度（2018年）,問題63 介護過程,介護計画の立案に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,介護福祉職の望む利用者像を目指す。,介護計画に設定する目標は、利用者が望む生活を実現するための生活課題の解決を目指したものになっていなければならない。介護福祉職の望む利用者像を目指すというのは、不適切である。,
第30回：平成29年度（2018年）,問題63 介護過程,介護計画の立案に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,本人や家族の希望と乖離（かいり）してもよい。,介護計画には、利用者の主体性や自己決定を尊重しつつ、利用者本人とその家族が希望する生活を実現するための具体的な目標が設定される。本人や家族の希望と乖離してもよいというのは、不適切である。,
第30回：平成29年度（2018年）,問題63 介護過程,介護計画の立案に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,安全性よりも効果を優先する。,介護計画は、利用者本人はもちろんのこと、その家族や介護者を含め、すべての人の生命・身体の安全性を念頭に置いて、立案しなければならない。安全性よりも効果を優先するというのは、不適切である。,
第30回：平成29年度（2018年）,問題64 介護過程,介護記録に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 正解,事実はありのままに記録する。,介護記録は、事実をありのままに、客観的に記録する必要がある。,
第30回：平成29年度（2018年）,問題64 介護過程,介護記録に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,鉛筆で記録する。,介護記録は、あとから内容を改ざんされないように、ボールペンなどの消えない筆記具で書く（誤字は２本線を引いて訂正し、訂正前の文字が読めるようにする）。鉛筆で記録するというのは、不適切である。,
第30回：平成29年度（2018年）,問題64 介護過程,介護記録に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,数日後に記録する。,介護記録の内容の正確を期するため、記憶の鮮明なうちに書き留めて、あいまいな記述をしないようにする。数日後に記録するというのは、不適切である。,
第30回：平成29年度（2018年）,問題64 介護過程,介護記録に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,介護福祉職の感情を記録する。,介護記録には、観察や物証等によって確認した客観的事実とともに、記録者が客観的事実に基づいて解釈した主観的事実も記録するが、これは個人の感情とは異なる。介護福祉職の感情を記録するというのは、不適切である。,
第30回：平成29年度（2018年）,問題64 介護過程,介護記録に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,他職種との関わりを除外して記録する。,質の高い介護サービスを提供するためには、他職種との連携が不可欠であり、介護記録は他職種との情報共有の手段として活用される。他職種との関わりを除外して記録するというのは、不適切である。,
第30回：平成29年度（2018年）,問題65 介護過程,介護過程の評価に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,介護計画の内容に対する介護福祉職の満足度を評価する。,介護過程の評価とは、介護計画に基づいて提供したサービスが、利用者の生活課題の解決に向けて効果を上げているかどうかを確認することによって、介護計画の妥当性を測ることをいう。介護計画の内容に対する介護福祉職の満足度を評価するものではない。,
第30回：平成29年度（2018年）,問題65 介護過程,介護過程の評価に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 正解,支援の実施状況に関する情報を整理して、評価する。,適切な評価を行うためには、利用者に対する支援の実施状況に関する情報をなるべく多く収集する必要があり、それらの情報を整理した上で評価を行うようにする。,
第30回：平成29年度（2018年）,問題65 介護過程,介護過程の評価に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,複数ある短期目標は集約して評価する。,短期目標は、長期目標の達成に向けた具体的な活動の目標であり、１か月後の短期目標、２か月後の短期目標というように、達成期間を短く区分して複数の短期目標が示される。評価は、それらの短期目標についてそれぞれ行う必要があり、複数の短期目標を集約して評価するというのは、不適切である。,
第30回：平成29年度（2018年）,問題65 介護過程,介護過程の評価に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,実施後に評価基準を定めて評価する。,目標の達成状況を判断するための評価基準は、その目標を設定する時点で明確に示されていなければならない。援助を実施した後に評価基準を定めると、その援助によって目標が達成できたかどうかの判断を恣意的に操作できることになる。実施後に評価基準を定めて評価するというのは、不適切である。,
第30回：平成29年度（2018年）,問題65 介護過程,介護過程の評価に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,家族が多角的な視点から評価する。,介護過程の評価は、利用者に対してサービス提供を行った介護福祉職が多角的な視点から行うものである。家族が多角的な視点から評価するというのは、不適切である。,
第30回：平成29年度（2018年）,問題66 介護過程,Ｅさんは認知症対応型共同生活介護（グループホーム）に入居している。廊下を頻繁に歩き、他の利用者の部屋に入ってはトラブルになりかけている。介護福祉職が声をかけると、「私には行くところがある」と怒鳴る。Ｅさんのアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,怒鳴られた介護福祉職の気持ちを情報として活用する。,アセスメントにおける情報収集では、利用者が自分自身の問題をどのようにとらえているかという主観的視点と、その問題の背後にある潜在的な要因を追究する客観的視点が必要とされる。しかし、怒鳴られた介護福祉職の気持ちというのは、どちらの視点にも当てはまらない。従って、これを情報として活用するのは、不適切である。,
第30回：平成29年度（2018年）,問題66 介護過程,Ｅさんは認知症対応型共同生活介護（グループホーム）に入居している。廊下を頻繁に歩き、他の利用者の部屋に入ってはトラブルになりかけている。介護福祉職が声をかけると、「私には行くところがある」と怒鳴る。Ｅさんのアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,「廊下を頻繁に歩かないこと」を生活課題に設定する。,介護過程における生活課題とは、利用者が望む生活を実現するために、解決すべき問題をいう。Ｅさんにとって解決すべき問題は、廊下を頻繁に歩くこと自体ではなく、そのときに他の利用者の部屋に入ってトラブルになりかけていることである。「廊下を頻繁に歩かないこと」を生活課題に設定するというのは、不適切である。,
第30回：平成29年度（2018年）,問題66 介護過程,Ｅさんは認知症対応型共同生活介護（グループホーム）に入居している。廊下を頻繁に歩き、他の利用者の部屋に入ってはトラブルになりかけている。介護福祉職が声をかけると、「私には行くところがある」と怒鳴る。Ｅさんのアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,他の利用者とトラブルになりかけている情報は不要と判断する。,Ｅさんが他の利用者とトラブルになりかけているという情報は、Ｅさんの生活課題を明確化する上で重要な情報である。従って、この情報を不要と判断するのは、不適切である。,
第30回：平成29年度（2018年）,問題66 介護過程,Ｅさんは認知症対応型共同生活介護（グループホーム）に入居している。廊下を頻繁に歩き、他の利用者の部屋に入ってはトラブルになりかけている。介護福祉職が声をかけると、「私には行くところがある」と怒鳴る。Ｅさんのアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 正解,「私には行くところがある」という言葉を解釈する。,Ｅさんは、「私には行くところがある」と思い込んで、廊下を頻繁に歩いては他の利用者の部屋に入ってしまう。「私には行くところがある」というＥさんの主観的情報を解釈することは、Ｅさんの生活課題を明確化するために必要な情報の分析である。,
第30回：平成29年度（2018年）,問題66 介護過程,Ｅさんは認知症対応型共同生活介護（グループホーム）に入居している。廊下を頻繁に歩き、他の利用者の部屋に入ってはトラブルになりかけている。介護福祉職が声をかけると、「私には行くところがある」と怒鳴る。Ｅさんのアセスメント（assessment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,言動から短気な性格だと考えて分析する。,情報の分析を行う際は、介護福祉職の先入観や思い込みなどは排除しなければならない。利用者の言動から短気な性格だと考えて分析するというのは、不適切である。,
第30回：平成29年度（2018年）,問題67 介護過程,Ｆさん（75歳、女性）は、アルツハイマー型認知症（dementiaoftheAlzheimer'stype）である。家族の介護負担が増加して、３日前から介護老人保健施設に入所している。入所前から、トイレに間に合わずに尿失禁をしてしまうことがあるため、昼夜、リハビリパンツを使用している。歩行は自立している。夜間、トイレに起きているが、その後、眠っていることが確認されている。Ｆさんの尿失禁の改善を目標に収集する情報として、最も優先度の高いものを１つ選びなさい。,1 不正解,介護負担となっている家族背景,介護負担となっている家族背景は、Ｆさんが在宅復帰する際には必要となる情報のひとつであるが、Ｆさんが尿失禁するようになった原因が、家族の介護負担の増加にあったかどうかは、設問文からは読み取れない。尿失禁の改善を目標に収集する情報として、優先度が高いとはいえない。,
第30回：平成29年度（2018年）,問題67 介護過程,Ｆさん（75歳、女性）は、アルツハイマー型認知症（dementiaoftheAlzheimer'stype）である。家族の介護負担が増加して、３日前から介護老人保健施設に入所している。入所前から、トイレに間に合わずに尿失禁をしてしまうことがあるため、昼夜、リハビリパンツを使用している。歩行は自立している。夜間、トイレに起きているが、その後、眠っていることが確認されている。Ｆさんの尿失禁の改善を目標に収集する情報として、最も優先度の高いものを１つ選びなさい。,2 不正解,施設生活に対する不安,Ｆさんは、施設に入所する前からトイレに間に合わず尿失禁をしてしまうことがあったのだから、施設生活に対する不安は、Ｆさんの尿失禁の原因とはいえない。従って、尿失禁の改善を目標に収集する情報として、優先度が高いとはいえない。,
第30回：平成29年度（2018年）,問題67 介護過程,Ｆさん（75歳、女性）は、アルツハイマー型認知症（dementiaoftheAlzheimer'stype）である。家族の介護負担が増加して、３日前から介護老人保健施設に入所している。入所前から、トイレに間に合わずに尿失禁をしてしまうことがあるため、昼夜、リハビリパンツを使用している。歩行は自立している。夜間、トイレに起きているが、その後、眠っていることが確認されている。Ｆさんの尿失禁の改善を目標に収集する情報として、最も優先度の高いものを１つ選びなさい。,3 不正解,夜間の中途覚醒状況,中途覚醒とは、眠りが浅く、夜間に何度も目が覚めてしまうという睡眠障害である。Ｆさんは、夜間にトイレに起きているが、その後は眠っていることが確認されていることから、中途覚醒には該当しない。従って、尿失禁の改善を目標に収集する情報として、優先度が高いとはいえない。,
第30回：平成29年度（2018年）,問題67 介護過程,Ｆさん（75歳、女性）は、アルツハイマー型認知症（dementiaoftheAlzheimer'stype）である。家族の介護負担が増加して、３日前から介護老人保健施設に入所している。入所前から、トイレに間に合わずに尿失禁をしてしまうことがあるため、昼夜、リハビリパンツを使用している。歩行は自立している。夜間、トイレに起きているが、その後、眠っていることが確認されている。Ｆさんの尿失禁の改善を目標に収集する情報として、最も優先度の高いものを１つ選びなさい。,4 正解,トイレに行く時間帯,Ｆさんは尿失禁をしてしまうため、昼夜を通してリハビリパンツを使用している。従って、Ｆさんの尿失禁を改善するためには、まず、Ｆさんの１日の排尿のリズムを把握することが必要である。従って、トイレに行く時間帯は、尿失禁の改善を目標に収集する情報として優先度が高い。,
第30回：平成29年度（2018年）,問題67 介護過程,Ｆさん（75歳、女性）は、アルツハイマー型認知症（dementiaoftheAlzheimer'stype）である。家族の介護負担が増加して、３日前から介護老人保健施設に入所している。入所前から、トイレに間に合わずに尿失禁をしてしまうことがあるため、昼夜、リハビリパンツを使用している。歩行は自立している。夜間、トイレに起きているが、その後、眠っていることが確認されている。Ｆさんの尿失禁の改善を目標に収集する情報として、最も優先度の高いものを１つ選びなさい。,5 不正解,歩行に必要な下肢筋力,Ｆさんは、歩行は自立していることから、歩行に必要な下肢筋力については、尿失禁の改善を目標に収集する情報として、優先度が高いとはいえない。,
第30回：平成29年度（2018年）,問題68 介護過程,Ｇさん（66歳、女性）は、１年前に脳梗塞（cerebralinfarction）を発症して片麻痺（かたまひ）になった。在宅復帰を目指し、介護老人保健施設に入所して、「家に帰れるように頑張らなくちゃ」と熱心に立位訓練に取り組んでいた。しかし、同居していた孫が３日前に訪れてから、「体調が悪い」と言って、閉じこもり、食事は半分も食べなくなった。傾聴ボランティアがＧさんの居室を訪れると、「訓練しても帰るところがない」と泣いて話したという。Ｇさんに対する介護福祉職の対応として、最も適切なものを１つ選びなさい。,1 不正解,食事量を評価して、栄養指導を行う。,Ｇさんは、傾聴ボランティアに対して、「訓練しても帰るところがない」と泣いて話したということから、Ｇさんにとって最も重要な生活課題は、食事量が減っていることではないことがわかる。また、食事量を評価して栄養指導をおこなうのは管理栄養士の職務である。そのため、介護福祉職が食事量を評価して栄養指導を行うというのは、不適切である。,
第30回：平成29年度（2018年）,問題68 介護過程,Ｇさん（66歳、女性）は、１年前に脳梗塞（cerebralinfarction）を発症して片麻痺（かたまひ）になった。在宅復帰を目指し、介護老人保健施設に入所して、「家に帰れるように頑張らなくちゃ」と熱心に立位訓練に取り組んでいた。しかし、同居していた孫が３日前に訪れてから、「体調が悪い」と言って、閉じこもり、食事は半分も食べなくなった。傾聴ボランティアがＧさんの居室を訪れると、「訓練しても帰るところがない」と泣いて話したという。Ｇさんに対する介護福祉職の対応として、最も適切なものを１つ選びなさい。,2 不正解,立位訓練を評価して、回復状況を把握する。,Ｇさんは、孫が訪れる前は、「家に帰れるように頑張らなくちゃ」と熱心に立位訓練に取り組んでいたことから、立位訓練に対する取り組みの姿勢などが重要な生活課題とはいえない。また、立位訓練の評価は、理学療法士の職務である。介護福祉職の対応として、立位訓練を評価して回復状況を把握するというのは、不適切である。,
